match_id,map_id,map_name,team1_id,team1_name,team1_map_score,team2_id,team2_name,team2_map_score,map_winner_id,map_winner_name,round_difference
2393322,6,Mirage,8297,FURIA,10,9928,GamerLegion,13,9928,GamerLegion,3
2393322,5,Nuke,8297,FURIA,5,9928,GamerLegion,13,9928,GamerLegion,8
2393322,7,Inferno,8297,FURIA,13,9928,GamerLegion,5,8297,FURIA,8
2393335,5,Nuke,8297,FURIA,3,6667,FaZe,13,6667,FaZe,10
2393335,6,Mirage,8297,FURIA,13,6667,FaZe,7,8297,FURIA,6
2393335,4,Dust2,8297,FURIA,4,6667,FaZe,13,6667,FaZe,9
2393228,6,Mirage,8297,FURIA,3,4608,Natus Vincere,13,4608,Natus Vincere,10
2393228,5,Nuke,8297,FURIA,16,4608,Natus Vincere,13,8297,FURIA,3
2393228,4,Dust2,8297,FURIA,13,4608,Natus Vincere,4,8297,FURIA,9
2393085,6,Mirage,8297,FURIA,13,12426,Passion UA,7,8297,FURIA,6
2393085,7,Inferno,8297,FURIA,13,12426,Passion UA,3,8297,FURIA,10
2391763,6,Mirage,8297,FURIA,10,6673,NRG,13,6673,NRG,3
2391763,4,Dust2,8297,FURIA,13,6673,NRG,7,8297,FURIA,6
2391763,5,Nuke,8297,FURIA,13,6673,NRG,2,8297,FURIA,11
2391758,7,Inferno,8297,FURIA,6,11861,Aurora,13,11861,Aurora,7
2391758,4,Dust2,8297,FURIA,14,11861,Aurora,16,11861,Aurora,2
2390814,2,Overpass,8297,FURIA,13,4863,TYLOO,11,8297,FURIA,2
2390814,6,Mirage,8297,FURIA,13,4863,TYLOO,8,8297,FURIA,5
2391133,5,Nuke,8297,FURIA,4,6665,Astralis,13,6665,Astralis,9
2391133,7,Inferno,8297,FURIA,4,6665,Astralis,13,6665,Astralis,9
2391133,4,Dust2,8297,FURIA,13,6665,Astralis,9,8297,FURIA,4
2391130,7,Inferno,8297,FURIA,13,4773,paiN,6,8297,FURIA,7
2391130,4,Dust2,8297,FURIA,13,4773,paiN,8,8297,FURIA,5
2396942,5,Nuke,13286,FUT,13,13117,Inner Circle,6,13286,FUT,7
2396942,6,Mirage,13286,FUT,13,13117,Inner Circle,9,13286,FUT,4
2396937,3,Ancient,13286,FUT,13,8840,Lynn Vision,7,13286,FUT,6
2396937,1,Anubis,13286,FUT,13,8840,Lynn Vision,3,13286,FUT,10
2396937,4,Dust2,13286,FUT,10,8840,Lynn Vision,13,8840,Lynn Vision,3
2396929,3,Ancient,13286,FUT,10,12468,Legacy,13,12468,Legacy,3
2396929,4,Dust2,13286,FUT,11,12468,Legacy,13,12468,Legacy,2
2396611,3,Ancient,13286,FUT,13,8297,FURIA,11,13286,FUT,2
2396611,4,Dust2,13286,FUT,16,8297,FURIA,13,13286,FUT,3
2396611,5,Nuke,13286,FUT,6,8297,FURIA,13,8297,FURIA,7
2396601,3,Ancient,13286,FUT,9,13592,magic,13,13592,magic,4
2396601,6,Mirage,13286,FUT,13,13592,magic,8,13286,FUT,5
2396601,1,Anubis,13286,FUT,13,13592,magic,7,13286,FUT,6
2396569,6,Mirage,13286,FUT,13,4863,TYLOO,10,13286,FUT,3
2396009,4,Dust2,13286,FUT,11,4914,3DMAX,13,4914,3DMAX,2
2396009,3,Ancient,13286,FUT,9,4914,3DMAX,13,4914,3DMAX,4
2395997,4,Dust2,13286,FUT,6,10577,SINNERS,13,10577,SINNERS,7
2395997,6,Mirage,13286,FUT,13,10577,SINNERS,8,13286,FUT,5
2395997,3,Ancient,13286,FUT,13,10577,SINNERS,3,13286,FUT,10
2394994,4,Dust2,13286,FUT,7,12394,BetBoom,13,12394,BetBoom,6
2394994,6,Mirage,13286,FUT,7,12394,BetBoom,13,12394,BetBoom,6
2394980,3,Ancient,13286,FUT,13,11241,B8,11,13286,FUT,2
2394980,6,Mirage,13286,FUT,13,11241,B8,9,13286,FUT,4
2394980,4,Dust2,13286,FUT,10,11241,B8,13,11241,B8,3
2394973,2,Overpass,13286,FUT,5,5995,G2,13,5995,G2,8
2394973,6,Mirage,13286,FUT,9,5995,G2,13,5995,G2,4
2394973,3,Ancient,13286,FUT,13,5995,G2,6,13286,FUT,7
2394887,1,Anubis,13286,FUT,13,5995,G2,11,13286,FUT,2
2394887,3,Ancient,13286,FUT,13,5995,G2,4,13286,FUT,9
2394887,2,Overpass,13286,FUT,7,5995,G2,13,5995,G2,6
2394868,3,Ancient,13286,FUT,13,11241,B8,11,13286,FUT,2
2394873,2,Overpass,13286,FUT,13,4863,TYLOO,9,13286,FUT,4
2394165,2,Overpass,13286,FUT,11,11241,B8,13,11241,B8,2
2394165,3,Ancient,13286,FUT,7,11241,B8,13,11241,B8,6
2394158,5,Nuke,13286,FUT,8,4773,paiN,13,4773,paiN,5
2394158,4,Dust2,13286,FUT,11,4773,paiN,13,4773,paiN,2
2394158,2,Overpass,13286,FUT,13,4773,paiN,10,13286,FUT,3
2394111,2,Overpass,13286,FUT,13,6673,NRG,9,13286,FUT,4
2394111,3,Ancient,13286,FUT,16,6673,NRG,13,13286,FUT,3
2393333,6,Mirage,13286,FUT,5,6665,Astralis,13,6665,Astralis,8
2393333,5,Nuke,13286,FUT,10,6665,Astralis,13,6665,Astralis,3
2393046,6,Mirage,13286,FUT,13,6665,Astralis,5,13286,FUT,8
2393046,3,Ancient,13286,FUT,13,6665,Astralis,5,13286,FUT,8
2393046,4,Dust2,13286,FUT,13,6665,Astralis,3,13286,FUT,10
2393046,5,Nuke,13286,FUT,14,6665,Astralis,16,6665,Astralis,2
2393044,5,Nuke,13286,FUT,13,6248,The MongolZ,10,13286,FUT,3
2393044,6,Mirage,13286,FUT,16,6248,The MongolZ,14,13286,FUT,2
2396950,6,Mirage,4494,MOUZ,13,9565,Vitality,7,4494,MOUZ,6
2396950,4,Dust2,4494,MOUZ,13,9565,Vitality,11,4494,MOUZ,2
2396945,7,Inferno,4494,MOUZ,13,11283,Falcons,3,4494,MOUZ,10
2396945,3,Ancient,4494,MOUZ,13,11283,Falcons,6,4494,MOUZ,7
2396945,5,Nuke,4494,MOUZ,6,11283,Falcons,13,11283,Falcons,7
2396936,3,Ancient,4494,MOUZ,13,13117,Inner Circle,4,4494,MOUZ,9
2396936,6,Mirage,4494,MOUZ,13,13117,Inner Circle,5,4494,MOUZ,8
2396928,11,Cache,4494,MOUZ,13,9996,9z,4,4494,MOUZ,9
2396928,5,Nuke,4494,MOUZ,13,9996,9z,7,4494,MOUZ,6
2396608,4,Dust2,4494,MOUZ,13,13286,FUT,16,13286,FUT,3
2396608,3,Ancient,4494,MOUZ,5,13286,FUT,13,13286,FUT,8
2396602,6,Mirage,4494,MOUZ,13,9928,GamerLegion,11,4494,MOUZ,2
2396602,5,Nuke,4494,MOUZ,13,9928,GamerLegion,11,4494,MOUZ,2
2396602,3,Ancient,4494,MOUZ,19,9928,GamerLegion,22,9928,GamerLegion,3
2396595,7,Inferno,4494,MOUZ,13,12467,PARIVISION,10,4494,MOUZ,3
2396595,4,Dust2,4494,MOUZ,13,12467,PARIVISION,4,4494,MOUZ,9
2396584,6,Mirage,4494,MOUZ,11,13286,FUT,13,13286,FUT,2
2396584,5,Nuke,4494,MOUZ,16,13286,FUT,12,4494,MOUZ,4
2396584,3,Ancient,4494,MOUZ,6,13286,FUT,13,13286,FUT,7
2396570,4,Dust2,4494,MOUZ,13,8840,Lynn Vision,8,4494,MOUZ,5
2396019,3,Ancient,4494,MOUZ,6,6665,Astralis,13,6665,Astralis,7
2396019,4,Dust2,4494,MOUZ,13,6665,Astralis,9,4494,MOUZ,4
2396019,6,Mirage,4494,MOUZ,13,6665,Astralis,9,4494,MOUZ,4
2396017,4,Dust2,4494,MOUZ,10,4914,3DMAX,13,4914,3DMAX,3
2396017,7,Inferno,4494,MOUZ,13,4914,3DMAX,3,4494,MOUZ,10
2396017,5,Nuke,4494,MOUZ,22,4914,3DMAX,18,4494,MOUZ,4
2396011,4,Dust2,4494,MOUZ,13,13679,FOKUS,10,4494,MOUZ,3
2396011,6,Mirage,4494,MOUZ,13,13679,FOKUS,8,4494,MOUZ,5
2396002,3,Ancient,4494,MOUZ,13,13027,Nuclear TigeRES,6,4494,MOUZ,7
2396002,5,Nuke,4494,MOUZ,13,13027,Nuclear TigeRES,11,4494,MOUZ,2
2394987,3,Ancient,4494,MOUZ,11,13286,FUT,13,13286,FUT,2
